,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
176,0.15743321,0.035739377,1.7707245,0.7460699,4.1958785,0.18142386,176
177,0.7657243,0.5705645,2.0121999,0.7515918,1.7748199,0.4452134,177
178,0.07358235,0.4902948,1.6921084,0.6281391,1.5727525,0.27578437,178
179,0.14740904,0.117743194,2.9840598,0.5225527,0.7872615,0.21678011,179
180,0.5818987,0.027676506,0.9356489,0.6937173,0.40227264,0.3389691,180
181,0.55087894,0.9773232,3.5350547,0.7074901,2.2980957,0.0055816853,181
182,0.4592103,0.10974549,1.9735923,0.57936406,0.7337829,0.117813766,182
183,0.47266936,0.57741094,0.6938057,0.5653738,5.4673843,0.653056,183
184,0.45930794,0.29641014,0.88846564,0.9043349,3.2256718,0.6652382,184
185,0.16110636,0.3327622,0.39371789,0.9638502,4.1810107,0.22314946,185
186,0.74086446,0.6102057,2.9271421,0.8830571,4.0998735,0.44263846,186
187,0.061306927,0.9061009,0.7949134,0.15971357,4.8914948,0.7972224,187
188,0.5295545,0.92814,3.7187226,0.66007733,4.7414107,0.36244977,0
189,0.23576608,0.85143584,2.579261,0.53540224,5.2716913,0.34273276,1
190,0.8958484,0.5397216,4.045958,0.605909,3.2073717,0.48280326,2
191,0.41159666,0.11023302,1.5730802,0.65655655,2.83642,0.6853946,3
192,0.8109585,0.39728343,2.155121,0.65640616,5.0221114,0.67400503,4
193,0.23038879,0.30209252,3.3492026,0.18915862,4.963534,0.15578365,5
194,0.051757604,0.13122119,0.6512853,0.62517947,5.496411,0.15426603,6
195,0.9627195,0.62758446,1.428747,0.47262862,3.0948591,0.83986264,7
