,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight,inferred prior lr,true prior lr,inferred prior weight,true prior weight
51,0.5637608,0.6759729,51,0.39806196,0.1850658,3.7799916,5.3271656,0.44712812,0.12741172,0.7908456,0.77812934,5.0178804,5.2483954
52,0.5349632,0.2019797,52,0.5027266,0.9508638,2.4229767,2.418542,0.5479174,0.7435193,0.1309625,0.1269877,4.7670264,5.8547506
53,0.6266226,0.85163677,53,0.37408894,0.37236065,4.8988743,5.117181,0.48356372,0.91418934,0.28030214,0.39063656,2.6985993,3.1883588
54,0.51309776,0.9303701,54,0.24558954,0.27327824,4.5027003,3.5794725,0.64127284,0.67644,0.62350523,0.45370245,3.69475,3.093668
55,0.5472014,0.9229339,55,0.5366227,0.4529611,1.499137,0.53930426,0.48936024,0.8756404,0.38120112,0.35639167,4.9141645,5.54516
56,0.5381069,0.13922536,56,0.37752247,0.6152307,0.8840721,0.41827083,0.47222725,0.0962553,0.28653914,0.9115759,0.84280884,0.26982772
57,0.49773943,0.82967675,57,0.62204987,0.91686165,3.1052167,2.057191,0.6139467,0.52725685,0.43818718,0.43694907,4.5514493,5.116967
58,0.5874239,0.5531816,58,0.56279236,0.6286297,2.8162997,2.697853,0.4548227,0.1094628,0.8418799,0.9277443,4.761958,4.9327197
59,0.60015506,0.8832699,59,0.24995004,0.22238564,3.5700865,3.9760242,0.37731525,0.16941279,0.08015959,0.05294025,2.6262276,1.8547747
60,0.52530867,0.40066898,60,0.20929168,0.023114204,1.5566877,4.2852483,0.51836437,0.13152093,0.65276027,0.68352205,3.5146704,3.1137924
61,0.5574877,0.53724176,61,0.74564314,0.8562308,3.9140654,2.8959565,0.45084667,0.5097831,0.73089266,0.76765305,5.0781717,5.818261
62,0.44125238,0.65621144,62,0.109452255,0.08487767,3.059304,3.6084828,0.6817548,0.7864639,0.12777168,0.20125407,2.97158,2.7517412
63,0.5222744,0.32547468,63,0.29436147,0.23258132,2.8926444,3.5737367,0.48477358,0.08031845,0.04267946,0.029842973,4.5836306,4.792909
64,0.50504297,0.7365614,64,0.24435334,0.53074634,0.86810076,0.1542778,0.5205042,0.71311927,0.54933435,0.49424797,2.1711287,2.4300632
65,0.43365052,0.27384347,65,0.47254914,0.34869128,3.2554832,3.836458,0.50629455,0.7380069,0.7674216,0.8443238,0.95528543,1.0730717
66,0.52135265,0.5456882,66,0.2815858,0.7034456,1.0839602,0.078104496,0.53230447,0.35396522,0.8181086,0.8455792,3.6111069,3.0636463
67,0.5210389,0.696232,67,0.2937334,0.7235283,1.0506531,0.18346632,0.5030237,0.72897726,0.5740912,0.546765,5.1991854,5.4615397
68,0.6616715,0.6330605,68,0.81408584,0.857464,3.008116,3.8271384,0.28932095,0.18611568,0.5526259,0.5866224,3.0932496,3.1995883
69,0.5140825,0.8730468,69,0.10781221,0.08469075,3.6963453,5.4933624,0.51067275,0.98771626,0.72666967,0.8699137,4.966974,5.1688604
70,0.5350205,0.17784166,70,0.2273846,0.29551834,1.6440798,0.26305962,0.49354395,0.61866766,0.42470062,0.36880583,4.727467,4.650004
71,0.5685504,0.7388959,71,0.5637687,0.65649575,4.027233,5.993,0.4360882,0.37960875,0.9186117,0.9860811,4.969409,5.4712725
72,0.477562,0.007206261,72,0.3571495,0.32594192,3.6368327,4.0997515,0.551416,0.43936628,0.34146857,0.39514583,3.7632213,3.553068
