,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
132,0.51219165,0.9565024,1.1629333,0.764368,1.6045885,0.027979495,132
133,0.17947413,0.32135543,1.1154702,0.5920931,0.9308882,0.40961492,133
134,0.7660346,0.7786877,1.8765104,0.47554716,0.57981503,0.2749347,134
135,0.5029352,0.73965853,1.243811,0.4943871,1.4710308,0.7030542,135
136,0.5721149,0.48352626,2.8712673,0.7964717,0.81158555,0.5564167,136
137,0.16659981,0.49214417,4.591798,0.8582402,1.0650257,0.073865965,137
138,0.35550058,0.7503204,0.35673752,0.7329623,0.5385779,0.19808732,138
139,0.6519461,0.8045491,1.0172634,0.33848143,1.6919651,0.6574689,139
140,0.560022,0.41397098,0.6625523,0.93653,2.011922,0.074642316,140
141,0.65719926,0.036357265,1.9851291,0.7367942,0.5742434,0.48969,141
142,0.11763484,0.4128261,1.3046656,0.62700737,1.6436565,0.17155786,142
143,0.5076285,0.5137214,0.9786396,0.752315,0.6830194,0.88207895,143
144,0.49812084,0.41713282,1.5066665,0.40672174,1.0636296,0.5358272,144
145,0.3995906,0.9613548,0.24222766,0.9060026,1.136341,0.031467363,145
146,0.16047707,0.7804906,0.7362794,0.96717024,1.292747,0.4871249,146
147,0.2589652,0.46598765,1.514284,0.4233643,0.5466229,0.69979465,147
148,0.7710319,0.6002695,1.3349545,0.9159556,1.7131884,0.18672194,148
149,0.19367461,0.25920248,1.3126621,0.5730352,1.3498893,0.025437083,149
150,0.2066077,0.09741303,1.033934,0.5940695,1.9782846,0.45713198,150
151,0.10196211,0.7163647,2.1040497,0.77117735,1.800586,0.2254831,151
152,0.71817607,0.07595434,0.48030913,0.26243746,0.5602801,0.26352453,152
153,0.52933323,0.5263576,0.9916935,0.8558432,1.296592,0.3530024,153
154,0.046325363,0.71604335,2.9434073,0.83708274,0.54972494,0.23230547,154
155,0.83135897,0.62975043,2.6628869,0.5403561,0.7232038,0.057638586,155
156,0.75463384,0.3843786,0.50108504,0.72317356,0.84632003,0.30086312,156
157,0.84099776,0.3815784,0.46391225,0.5465783,4.553502,0.56569964,157
