,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight
67,0.6553409,0.9718444,67,0.90658617,0.94259894,3.9416785,2.5588095,0.22690485,0.23100746
68,0.7986923,0.9873531,68,0.25312814,0.26563388,5.206391,5.8932486,0.18579276,0.19232577
69,0.60511386,0.43656182,69,0.6945302,0.80857503,0.94102156,1.1166533,0.37407666,0.5020437
70,0.55409753,0.9674335,70,0.10708323,0.016700566,2.171212,4.6128893,0.46086198,0.4496752
71,0.49878946,0.12996823,71,0.2976421,0.4101051,1.2937031,1.3006164,0.39982694,0.2548985
72,0.46256593,0.9437017,72,0.6516452,0.47677928,2.7685454,2.5159407,0.78563243,0.8988812
73,0.60693115,0.48269475,73,0.81433964,0.8219593,5.152757,5.8083744,0.5540863,0.49516928
74,0.46307835,0.36289608,74,0.20076782,0.2817256,1.043625,0.08120191,0.48426935,0.8919331
75,0.75004613,0.6969229,75,0.7327965,0.7577505,4.756586,5.313433,0.48263803,0.48539066
76,0.4582589,0.24780911,76,0.10814836,0.083119154,2.4295845,1.9749634,0.5546031,0.36915642
77,0.5471824,0.56285036,77,0.74834394,0.82733136,4.3535852,3.8318963,0.6333009,0.6535138
78,0.4540349,0.7845992,78,0.22220875,0.36245048,0.91433054,0.775295,0.53136474,0.24307638
79,0.78980577,0.8266863,79,0.41785675,0.4392234,2.4158385,2.3430269,0.17717934,0.0038314462
80,0.16553399,0.30609912,80,0.4246818,0.42064774,5.037411,5.1102424,0.46104422,0.6730524
81,0.4281276,0.5997561,81,0.7249446,0.64562595,4.77044,4.4292994,0.18310156,0.13129449
82,0.54767174,0.5752202,82,0.62037075,0.553696,3.1318333,2.873427,0.49095678,0.45768142
83,0.4411817,0.79497254,83,0.7777736,0.94736713,1.998708,1.9215513,0.72391754,0.6812689
84,0.3906272,0.118938744,84,0.82044053,0.9427757,1.5304627,1.2329764,0.33165613,0.2594084
85,0.2726647,0.46822667,85,0.6148146,0.5723189,4.5288897,3.9439845,0.6087434,0.744557
86,0.42466176,0.20701379,86,0.52225477,0.5890366,0.68839365,0.71704245,0.5385824,0.5938887
87,0.47945708,0.42283624,87,0.32630113,0.03140837,0.87609917,1.3393704,0.5382016,0.8205805
88,0.30111837,0.59679145,88,0.6066991,0.6495736,3.708919,4.5688324,0.70297664,0.86434263
89,0.5746077,0.4854499,89,0.6641176,0.88445544,2.3997593,2.5210805,0.4869205,0.56732035
90,0.26267081,0.26727706,90,0.89613235,0.929781,3.8037405,4.2484717,0.43496075,0.49552202
91,0.466563,0.67494786,91,0.36077553,0.88869596,0.8101391,0.5335393,0.449498,0.22654301
92,0.3839208,0.95939994,92,0.8129169,0.8033366,1.4884939,1.4633689,0.46823758,0.33708578
93,0.632789,0.40326154,93,0.6661903,0.86675143,1.6441357,1.3586769,0.41447875,0.39926326
94,0.42692077,0.7205081,94,0.32094988,0.016806781,1.5072557,3.5853343,0.4317458,0.08983338
95,0.47229445,0.5593087,95,0.16658716,0.022626221,1.2808127,1.8963368,0.4705365,0.81054527
96,0.68966454,0.8434074,96,0.09649385,0.0960564,5.3245864,5.989487,0.36998174,0.67772835
97,0.27717435,0.24126983,97,0.7132015,0.7915512,4.8647842,5.40354,0.62684965,0.65780944
98,0.40173665,0.5011774,98,0.574172,0.52750576,3.3595657,3.3703415,0.7233962,0.77497476
99,0.4717028,0.061449587,99,0.13045546,0.067804396,2.2118454,2.3760617,0.5793199,0.85546124
100,0.5366433,0.44751745,100,0.6838924,0.8191916,4.255535,3.7244217,0.74334806,0.7190965
101,0.5079288,0.03878528,101,0.07419577,0.062079847,4.233972,4.8914814,0.38404068,0.53578067
102,0.44088206,0.3336522,102,0.18616436,0.023313105,1.5633293,3.3029745,0.50918525,0.16132748
103,0.45294678,0.9488162,103,0.24154852,0.30467272,0.81485957,0.51194966,0.5289961,0.5915082
104,0.44403574,0.36195445,104,0.34608796,0.24431604,3.0868297,2.4549387,0.7302344,0.17484266
105,0.7444442,0.8949465,105,0.751447,0.6426193,5.2657566,5.793952,0.64769185,0.60912085
106,0.42752752,0.44815922,106,0.26857287,0.290433,4.7941737,4.5199833,0.68769944,0.9833012
107,0.45292243,0.0062063932,107,0.32689735,0.89384186,1.0622151,0.89920557,0.4769466,0.60368896
108,0.5461683,0.62873083,108,0.59178793,0.6107872,5.2311554,5.8691144,0.6445612,0.67443025
109,0.5091413,0.6979147,109,0.13296092,0.12271279,2.3169076,2.3213258,0.49077284,0.29017693
110,0.31984985,0.9974706,110,0.3246082,0.2848127,5.09895,5.08553,0.8090316,0.9926712
111,0.24615121,0.061789513,111,0.8630554,0.8596475,2.1879923,2.838177,0.616277,0.6515897
112,0.4792993,0.16514295,112,0.22573787,0.10552013,1.3068049,0.45702016,0.49512416,0.06991917
