,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior lr,true prior lr,inferred prior weight,true prior weight
158,2.4054916,2.0315373,158,0.34843603,0.60903925,2.527182,0.45834374,0.16366431,0.1931526,0.24013591,0.10887635,3.6951635,5.811353
159,3.3601637,2.9755907,159,0.3609263,0.5659859,2.3344693,0.34153748,0.62206715,0.50516564,0.09706575,0.058128,4.559302,4.1933775
160,0.5337848,0.31117988,160,0.36388853,0.35954964,0.61371374,0.39834344,0.70807093,0.11448157,0.057099152,0.61444515,3.6392949,0.6981375
161,2.8075204,3.7835474,161,0.55799663,0.77584815,3.1961112,4.151079,0.37256116,0.4730764,0.658442,0.8560384,3.6714337,4.530749
162,2.5634005,4.3252516,162,0.5214086,0.5950973,2.6317353,5.0293245,0.7012609,0.8862174,0.64794165,0.5151985,1.7594136,1.5209209
163,2.1170127,0.7022563,163,0.49358624,0.6282815,2.4155111,5.9863114,0.671605,0.9043225,0.48974273,0.23907846,4.894772,4.0751076
164,1.2788472,0.58414865,164,0.35868543,0.17941666,1.4976209,2.1536357,0.6197119,0.40496302,0.3072621,0.4524706,3.091056,2.5724587
165,1.3324736,0.2149036,165,0.6684263,0.48734492,3.0716648,5.5044217,0.7998444,0.89667284,0.16040221,0.1238457,2.3078594,2.2450147
166,4.436472,4.9107237,166,0.24122292,0.08597106,2.0118139,3.7854717,0.3782182,0.47996807,0.14538719,0.07241529,4.147801,5.781401
167,1.6141624,5.6121244,167,0.6947307,0.9072683,3.0040746,5.47784,0.78150886,0.8885657,0.7178725,0.6161525,1.6189128,1.2726746
168,3.2634118,0.8517462,168,0.16784939,0.09486437,2.410394,4.8763547,0.14595068,0.13262427,0.19376315,0.07548505,2.4924643,1.3497173
169,3.0431895,2.58129,169,0.51516396,0.39496613,3.1250792,3.8133366,0.2876483,0.3716712,0.63678473,0.38385546,4.10593,4.403266
170,1.8957571,0.6819409,170,0.5575664,0.5554876,3.045836,2.7131388,0.6733367,0.4686458,0.5296232,0.5651802,3.9910996,3.4780276
171,2.039926,2.2535343,171,0.2747264,0.049358726,1.2451946,2.2889986,0.7611658,0.96828246,0.092337936,0.08577001,2.4544039,2.801525
172,3.7441099,2.852353,172,0.33765507,0.18135148,2.7442315,2.3180552,0.51145786,0.54131174,0.32483834,0.3322987,3.074935,2.9264774
173,2.9225147,4.274176,173,0.5387888,0.3542806,3.3047154,2.8835735,0.306552,0.33155864,0.32888088,0.27851582,4.0737076,5.1955695
174,1.7512654,2.5383368,174,0.42911968,0.2120241,2.521834,4.637062,0.68805087,0.7768532,0.75336623,0.64299047,1.417024,1.7113109
175,3.3060834,5.460934,175,0.5064276,0.28554904,3.2913404,4.930654,0.19830035,0.19706053,0.29086742,0.81742996,3.9394681,0.9831412
176,4.6423254,5.5661416,176,0.28513217,0.38452452,2.230767,1.6039588,0.6048241,0.57681555,0.14970456,0.003503263,1.2301016,4.136322
177,3.373037,4.431957,177,0.482398,0.42912108,3.306064,5.910844,0.17675406,0.1700508,0.4693751,0.29119188,3.7245224,4.0737963
178,2.9706433,3.4489245,178,0.48953754,0.29703212,3.1209352,1.0547798,0.12770751,0.07546103,0.6217748,0.8830524,3.804433,5.935727
179,1.1340712,2.0377314,179,0.24991642,0.49936682,1.6928169,0.6299633,0.77454275,0.97170204,0.5081105,0.67059493,0.960628,0.8451308
180,3.1969864,3.8494196,180,0.51575536,0.9768183,3.1548421,1.1390955,0.088920854,0.045817375,0.46111205,0.07599741,3.6065795,3.4709382
181,3.549777,3.8745184,181,0.63158727,0.45197648,4.284993,4.6933284,0.5491099,0.5209486,0.22712964,0.256167,1.3235683,0.6430836
182,3.203221,3.8652296,182,0.49946833,0.029482424,3.2314556,4.903217,0.2867,0.33679152,0.6691943,0.81084824,4.7903204,5.4313865
183,1.9250515,2.9146605,183,0.48963973,0.89403456,2.161971,4.3800726,0.622733,0.8017461,0.7180284,0.6740217,4.8167276,5.275758
184,3.8269014,5.448234,184,0.36846057,0.17167807,2.313953,5.987235,0.3849746,0.39859915,0.4329734,0.42926633,4.2743955,5.2684655
185,2.298222,2.9080133,185,0.23321804,0.1439901,1.4492713,2.042544,0.64560556,0.65195936,0.5475563,0.7769975,0.82665586,0.61486816
186,1.7409191,1.6769332,186,0.744182,0.86130375,3.4948993,4.81938,0.83176214,0.8609929,0.076230675,0.036144793,2.9471295,3.7937493
187,3.3799582,3.2049885,187,0.36698467,0.5035652,2.776362,2.7252483,0.26437584,0.27079612,0.20482862,0.9216935,1.3744663,0.5180601
